Branchen	Schweiz	Basel-Stadt	Genf	Zürich	
Baugewerbe	2.3	6.5	1.9	2.3
Gesundheits- & Sozialwesen	2.6	2.1	2.7	2.8
Grundstücks- & Wohnungswesen	1.2	1.0	1.8	1.5
Handel, Reparatur	2.2	1.1	2.6	2.2
Herstellung von chem. Erzeugnissen	1.3	0.9	1.3	0.8
Life Sciences Industrie	3.8	4.7	2.7	3.6
Öffentliche Verwaltung, Bildung	1.2	2.8	-0.1	1.8
Tourismus	0.2	1.0	1.0	0.7	
Unternehmens- & freiberufliche Dienstl.	2.6	3.2	3.3	2.3
Verkehr & Lagerei	1.1	0.7	2.0	1.7
Versicherungs- und Finanzdienstl.	2.1	2.2	1.7	2.2